orig_id,dest_id,shipments,dist,oinc,oarea,opop,odens,ocap,o65,ocoll,ogen,dinc,darea,dpop,ddens,d65,dcoll,dcap,tax,dregion,year
2,1,435808.28,357.5077,21.147,.052075,2.351,45.14642,.834602,15,8.9,18.62572,23.597,.05075,4.041,79.62562,13,10.1,1.102672,94.4,"south",1992
3,1,0,1418.295,27.54,.113642,3.664,32.2416,2.258579,13.4,13.3,17.28103,23.597,.05075,4.041,79.62562,13,10.1,1.102672,94.4,"south",1992
4,1,241.00007,1945.271,35.798,.155973,29.76,190.8023,2.258579,10.6,15.3,18.85964,23.597,.05075,4.041,79.62562,13,10.1,1.102672,94.4,"south",1992
5,1,0,1129.195,30.14,.103729,3.294,31.75583,2.258579,10,18,16.50503,23.597,.05075,4.041,79.62562,13,10.1,1.102672,94.4,"south",1992
6,1,2930.0002,977.907,41.721,.004845,3.287,678.4314,.439263,14.1,16.2,17.34972,23.597,.05075,4.041,79.62562,13,10.1,1.102672,94.4,"south",1992
7,1,0,760.9162,34.875,.001955,.666,340.6649,0,12.4,13.7,16.11718,23.597,.05075,4.041,79.62562,13,10.1,1.102672,94.4,"south",1992
8,1,88615.203,361.1705,27.483,.053997,12.938,239.6059,.347235,18.6,12,17.31192,23.597,.05075,4.041,79.62562,13,10.1,1.102672,94.4,"south",1992
9,1,476845.54,181.4277,29.021,.057919,6.478,111.8459,.400421,10.1,12.9,18.11468,23.597,.05075,4.041,79.62562,13,10.1,1.102672,94.4,"south",1992
10,1,219488.57,733.1555,26.229,.055875,2.777,49.70022,.121515,15.5,11.7,17.08463,23.597,.05075,4.041,79.62562,13,10.1,1.102672,94.4,"south",1992
11,1,0,1687.797,25.257,.082751,1.007,12.16904,2.258579,11.8,12.4,13.59865,23.597,.05075,4.041,79.62562,13,10.1,1.102672,94.4,"south",1992
12,1,19247.992,500.8531,32.252,.055593,11.431,205.6194,2.66384,12.6,13.6,19.26032,23.597,.05075,4.041,79.62562,13,10.1,1.102672,94.4,"south",1992
13,1,217804.99,482.2823,28.797,.03587,5.544,154.5581,6.426348,12.7,9.2,19.89063,23.597,.05075,4.041,79.62562,13,10.1,1.102672,94.4,"south",1992
14,1,12837.003,746.5325,27.291,.081823,2.478,30.28488,2.258579,13.9,14.1,17.91966,23.597,.05075,4.041,79.62562,13,10.1,1.102672,94.4,"south",1992
15,1,32431.945,339.2107,22.534,.039732,3.685,92.7464,.698978,12.7,8.1,18.24701,23.597,.05075,4.041,79.62562,13,10.1,1.102672,94.4,"south",1992
16,1,18960.009,324.836,21.949,.043566,4.22,96.86452,10.75009,11.3,10.5,19.34278,23.597,.05075,4.041,79.62562,13,10.1,1.102672,94.4,"south",1992
17,1,0,1050.518,36.952,.007838,6.016,767.5427,.130908,14,16.6,17.43226,23.597,.05075,4.041,79.62562,13,10.1,1.102672,94.4,"south",1992
18,1,4164.0019,703.2751,39.386,.009775,4.781,489.1049,.021288,11.1,15.6,17.12806,23.597,.05075,4.041,79.62562,13,10.1,1.102672,94.4,"south",1992
